Number of nodes 838 
   372 : -4.3296220e-03 -2.8674979e-02 
   373 : -1.3608569e-03 -2.8968053e-02 
   374 :  1.6223085e-03 -2.8954587e-02 
   375 :  4.5883075e-03 -2.8634724e-02 
   376 : -2.7453241e-02 -1.0332668e-02 
   377 : -2.6308267e-02 -1.2973801e-02 
   378 : -2.4909931e-02 -1.5489990e-02 
   379 : -2.3271698e-02 -1.7857002e-02 
   380 : -2.1409346e-02 -2.0052041e-02 
   381 : -1.9340810e-02 -2.2053968e-02 
   382 : -1.7086012e-02 -2.3843503e-02 
   383 : -1.4666667e-02 -2.5403412e-02 
   384 : -1.2106073e-02 -2.6718672e-02 
   385 : -9.4288910e-03 -2.7776618e-02 
   386 : -6.6609039e-03 -2.8567058e-02 
   387 : -3.8287684e-03 -2.9082383e-02 
   388 : -9.5975934e-04 -2.9317628e-02 
   389 :  1.9184914e-03 -2.9270529e-02 
   390 :  4.7782675e-03 -2.8941538e-02 
   391 :  5.1961524e-03 -3.0000000e-03 
   392 :  1.5572136e-02 -1.7878671e-02 
   393 :  1.8234105e-02 -1.9455054e-02 
   394 :  2.2102700e-02 -1.8774202e-02 
   395 :  2.3705248e-02 -1.6705126e-02 
   396 :  2.5114737e-02 -1.4500000e-02 
   397 :  2.6319687e-02 -1.2176784e-02 
   398 :  2.7310286e-02 -9.7543987e-03 
   399 :  2.5965623e-02 -6.0636711e-03 
   400 :  2.3269451e-02 -4.5465299e-03 
   401 :  1.0343771e-02 -2.7092552e-02 
   402 :  1.3072333e-02 -2.5886562e-02 
   403 :  1.5662563e-02 -2.4406641e-02 
   404 :  1.8087052e-02 -2.2668448e-02 
   405 :  2.8674979e-02 -4.3296220e-03 
   406 :  2.8968053e-02 -1.3608569e-03 
   407 :  2.8954587e-02  1.6223085e-03 
   408 :  2.8634724e-02  4.5883075e-03 
   409 :  1.0332668e-02 -2.7453241e-02 
   410 :  1.2973801e-02 -2.6308267e-02 
   411 :  1.5489990e-02 -2.4909931e-02 
   412 :  1.7857002e-02 -2.3271698e-02 
   413 :  2.0052041e-02 -2.1409346e-02 
   414 :  2.2053968e-02 -1.9340810e-02 
   415 :  2.3843503e-02 -1.7086012e-02 
   416 :  2.5403412e-02 -1.4666667e-02 
   417 :  2.6718672e-02 -1.2106073e-02 
   418 :  2.7776618e-02 -9.4288910e-03 
   419 :  2.8567058e-02 -6.6609039e-03 
   420 :  2.9082383e-02 -3.8287684e-03 
   421 :  2.9317628e-02 -9.5975934e-04 
   422 :  2.9270529e-02  1.9184914e-03 
   423 :  2.8941538e-02  4.7782675e-03 
   424 :  3.5067060e-02  1.5884833e-02 
   425 :  2.7337791e-02  1.7469602e-02 
   426 :  3.1440879e-02  2.2331968e-02 
   427 :  3.0565223e-02  1.1980681e-02 
   428 :  2.5658186e-02  2.0479919e-02 
   429 :  3.8967439e-02  1.8963819e-02 
   430 :  4.3130452e-02  2.2780963e-02 
   431 :  3.6813748e-02  2.4135848e-02 
   432 :  2.9084643e-02  1.4858907e-02 
   433 :  3.0979360e-02  1.7846045e-02 
   434 :  3.4855895e-02  2.0124060e-02 
   435 :  2.8477943e-02  2.0537844e-02 
   436 :  3.2275292e-02  1.4366429e-02 
   437 :  5.3678880e-02  5.6749589e-03 
   438 :  3.1754099e-02  4.3649795e-02 
